Red Value, IR Value
-15765,-14634
-15754,-14614
-15784,-14646
-15769,-14624
-15752,-14645
-15766,-14629
-15781,-14668
-15778,-14628
-15811,-14658
-15773,-14632
-15771,-14657
-15786,-14666
-15798,-14681
-15780,-14656
-15793,-14686
-15774,-14635
-15778,-14676
-15774,-14662
-15802,-14681
-15776,-14658
-15767,-14679
-15779,-14668
-15787,-14698
-15768,-14666
-15791,-14695
-15757,-14669
-15749,-14692
-15763,-14691
-15777,-14726
-15762,-14695
-15781,-14722
-15744,-14672
-15734,-14693
-15726,-14652
-15737,-14653
-15704,-14593
-15672,-14586
-15684,-14568
-15684,-14578
-15671,-14554
-15700,-14579
-15683,-14547
-15668,-14580
-15693,-14578
-15712,-14598
-15694,-14582
-15725,-14621
-15696,-14588
-15695,-14627
-15705,-14616
-15737,-14655
-15728,-14623
-15712,-14640
-15727,-14634
-15729,-14650
-15723,-14629
-15748,-14646
-15721,-14610
-15707,-14630
-15721,-14618
-15719,-14645
-15728,-14611
-15741,-14627
-15709,-14600
-15714,-14643
-15718,-14635
-15739,-14668
-15736,-14643
-15746,-14675
-15727,-14647
-15735,-14685
-15731,-14677
-15768,-14715
-15742,-14687
-15733,-14718
-15748,-14703
-15753,-14728
-15765,-14704
-15779,-14735
-15755,-14698
-15752,-14724
-15767,-14713
-15780,-14740
-15767,-14708
-15758,-14731
-15776,-14721
-15771,-14749
-15770,-14735
-15808,-14740
-15775,-14731
-15760,-14740
-15765,-14735
-15768,-14735
-15753,-14681
-15751,-14674
-15727,-14635
-15710,-14639
-15718,-14624
-15738,-14646
-15706,-14613
-15701,-14642
-15715,-14637
-15734,-14667
-15723,-14644
-15760,-14673
-15745,-14658
-15732,-14692
-15751,-14686
-15770,-14714
-15761,-14703
-15782,-14738
-15754,-14683
-15763,-14726
-15774,-14702
-15787,-14728
-15762,-14691
-15750,-14698
-15766,-14696
-15762,-14717
-15748,-14678
-15788,-14701
-15751,-14673
-15745,-14708
-15753,-14700
-15774,-14724
-15762,-14708
-15783,-14735
-15748,-14700
-15756,-14727
-15770,-14711
-15775,-14752
-15770,-14727
-15801,-14756
-15762,-14719
-15767,-14768
-15782,-14767
-15802,-14793
-15781,-14758
-15766,-14777
-15788,-14779
-15801,-14811
-15791,-14786
-15809,-14809
-15789,-14770
-15776,-14810
-15794,-14798
-15800,-14820
-15805,-14789
-15816,-14820
-15800,-14780
-15799,-14807
-15803,-14789
-15812,-14797
-15783,-14741
-15795,-14719
-15755,-14653
-15741,-14671
-15747,-14634
-15759,-14635
-15736,-14603
-15739,-14620
-15739,-14614
-15755,-14642
-15751,-14619
-15771,-14662
-15760,-14629
-15757,-14659
-15773,-14658
-15792,-14678
-15775,-14663
-15800,-14685
-15772,-14659
-15777,-14691
-15784,-14672
-15779,-14700
-15778,-14664
-15802,-14679
-15761,-14661
-15755,-14676
-15752,-14652
-15771,-14680
-15759,-14637
-15765,-14677
-15753,-14644
-15760,-14674
-15760,-14679
-15777,-14704
-15758,-14678
-15751,-14722
-15766,-14710
-15777,-14754
-15781,-14731
-15799,-14779
-15777,-14757
-15778,-14782
-15803,-14784
-15795,-14808
-15793,-14790
-15833,-14801
-15790,-14780
-15784,-14799
-15798,-14788
-15823,-14804
-15798,-14774
-15815,-14781
-15780,-14749
-15807,-14790
-15799,-14759
-15813,-14774
-15794,-14748
-15779,-14763
