Red Value, IR Value
-16941,-15689
-16952,-15680
-16978,-15685
-16961,-15672
-16952,-15709
-16962,-15697
-16989,-15728
-16974,-15713
-16983,-15746
-17005,-15753
-17034,-15791
-17040,-15758
-17089,-15800
-17072,-15781
-17097,-15835
-17111,-15812
-17141,-15857
-17128,-15826
-17117,-15835
-17130,-15845
-17121,-15876
-17125,-15853
-17150,-15877
-17121,-15862
-17113,-15892
-17119,-15893
-17145,-15932
-17126,-15889
-17123,-15920
-17137,-15909
-17143,-15944
-17133,-15917
-17141,-15941
-17128,-15932
-17137,-15964
-17144,-15949
-17169,-15961
-17108,-15890
-17079,-15836
-17057,-15765
-17025,-15704
-16999,-15630
-16989,-15626
-16967,-15575
-16952,-15603
-16959,-15588
-16979,-15618
-16965,-15604
-16943,-15627
-16969,-15619
-16973,-15662
-16959,-15627
-16996,-15653
-16949,-15630
-16943,-15676
-16957,-15675
-16978,-15723
-16961,-15702
-16953,-15745
-16978,-15736
-16996,-15768
-16975,-15752
-17013,-15766
-16980,-15735
-16958,-15779
-16997,-15748
-17002,-15778
-16979,-15730
-16964,-15764
-16978,-15756
-16979,-15785
-16975,-15763
-17000,-15791
-16976,-15775
-16962,-15817
-16978,-15798
-17008,-15833
-16986,-15807
-16978,-15839
-17001,-15835
-17013,-15865
-17011,-15837
-17003,-15873
-17012,-15862
-17028,-15888
-17014,-15868
-17039,-15902
-17017,-15863
-17006,-15905
-17027,-15891
-17042,-15936
-17024,-15900
-17022,-15915
-17022,-15905
-17018,-15870
-16975,-15776
-16974,-15718
-16909,-15642
-16876,-15608
-16869,-15557
-16879,-15566
-16853,-15524
-16831,-15544
-16851,-15535
-16857,-15561
-16861,-15541
-16887,-15572
-16848,-15554
-16866,-15598
-16873,-15598
-16883,-15637
-16885,-15616
-16879,-15644
-16909,-15655
-16923,-15680
-16914,-15665
-16937,-15701
-16922,-15677
-16914,-15712
-16930,-15690
-16947,-15717
-16932,-15671
-16901,-15680
-16925,-15697
-16933,-15711
-16905,-15690
-16949,-15708
-16918,-15690
-16917,-15729
-16924,-15727
-16963,-15764
-16943,-15730
-16919,-15759
-16941,-15763
-16957,-15793
-16957,-15767
-16932,-15802
-16959,-15790
-16984,-15827
-16945,-15801
-16990,-15832
-16958,-15805
-16955,-15854
-16970,-15830
-16993,-15872
-16960,-15838
-16958,-15870
-16980,-15870
-16996,-15886
-16985,-15863
-16984,-15821
-16928,-15728
-16878,-15673
-16853,-15592
-16845,-15543
-16797,-15484
-16779,-15480
-16793,-15465
-16799,-15485
-16789,-15454
-16778,-15467
-16785,-15480
-16811,-15503
-16790,-15492
-16817,-15515
-16809,-15490
-16795,-15535
-16814,-15514
-16833,-15562
-16813,-15534
-16817,-15585
-16831,-15572
-16843,-15595
-16840,-15589
-16859,-15615
-16838,-15580
-16824,-15629
-16847,-15598
-16861,-15615
-16830,-15583
-16816,-15610
-16839,-15604
-16855,-15649
-16836,-15605
-16838,-15631
-16843,-15626
-16868,-15659
-16850,-15642
-16868,-15665
-16850,-15635
-16860,-15687
-16872,-15672
-16887,-15712
-16875,-15692
-16866,-15714
-16882,-15711
-16894,-15743
-16879,-15717
-16875,-15738
-16896,-15741
