Red Value, IR Value
-15213,-14258
-15220,-14256
-15230,-14286
-15222,-14266
-15246,-14277
-15222,-14247
-15217,-14275
-15219,-14256
-15237,-14298
-15225,-14275
-15256,-14290
-15222,-14252
-15203,-14264
-15205,-14228
-15217,-14234
-15176,-14181
-15160,-14189
-15164,-14157
-15171,-14174
-15165,-14157
-15182,-14169
-15163,-14147
-15163,-14189
-15183,-14179
-15201,-14214
-15179,-14179
-15205,-14202
-15182,-14171
-15174,-14200
-15189,-14185
-15208,-14221
-15187,-14190
-15181,-14196
-15186,-14197
-15188,-14202
-15183,-14183
-15201,-14185
-15173,-14150
-15158,-14179
-15172,-14164
-15186,-14179
-15164,-14160
-15153,-14160
-15167,-14161
-15175,-14188
-15170,-14154
-15198,-14181
-15163,-14153
-15168,-14185
-15157,-14170
-15176,-14204
-15164,-14178
-15146,-14201
-15174,-14195
-15181,-14218
-15166,-14200
-15197,-14218
-15160,-14192
-15166,-14238
-15177,-14220
-15194,-14247
-15176,-14213
-15156,-14236
-15175,-14236
-15196,-14259
-15177,-14234
-15207,-14272
-15184,-14259
-15169,-14312
-15211,-14310
-15226,-14355
-15210,-14338
-15209,-14324
-15210,-14313
-15200,-14300
-15187,-14247
-15188,-14233
-15166,-14194
-15147,-14208
-15153,-14193
-15164,-14209
-15146,-14175
-15142,-14210
-15158,-14202
-15175,-14222
-15166,-14199
-15183,-14216
-15154,-14185
-15159,-14225
-15172,-14205
-15185,-14239
-15186,-14219
-15200,-14237
-15170,-14196
-15167,-14238
-15172,-14214
-15186,-14238
-15166,-14197
-15153,-14215
-15169,-14199
-15175,-14220
-15160,-14185
-15179,-14204
-15146,-14168
-15149,-14209
-15158,-14179
-15173,-14221
-15156,-14173
-15152,-14197
-15166,-14187
-15178,-14205
-15160,-14181
-15183,-14202
-15155,-14170
-15153,-14200
-15166,-14181
-15187,-14184
-15166,-14161
-15156,-14174
-15166,-14165
-15176,-14193
-15165,-14158
-15186,-14190
-15166,-14154
-15160,-14166
-15167,-14149
-15172,-14147
-15151,-14119
-15159,-14118
-15130,-14055
-15109,-14071
-15120,-14042
-15131,-14056
-15106,-14017
-15133,-14033
-15108,-14008
-15106,-14045
-15123,-14025
-15139,-14061
-15129,-14027
-15106,-14052
-15130,-14039
-15148,-14067
-15131,-14044
-15152,-14075
-15133,-14051
-15133,-14074
-15133,-14063
-15154,-14089
-15143,-14057
-15157,-14081
-15122,-14037
-15125,-14078
-15129,-14050
-15144,-14080
-15119,-14048
-15152,-14067
-15114,-14034
-15114,-14076
-15123,-14059
-15148,-14092
-15115,-14054
-15116,-14083
-15126,-14087
-15143,-14118
-15128,-14085
-15157,-14112
-15126,-14084
-15123,-14127
-15127,-14122
-15150,-14137
-15126,-14123
-15152,-14138
-15131,-14102
-15127,-14148
-15133,-14130
-15148,-14156
-15132,-14116
-15117,-14135
-15129,-14135
-15142,-14152
-15136,-14121
-15155,-14151
-15122,-14106
-15127,-14128
-15123,-14102
-15134,-14100
