Red Value, IR Value
-17866,-16710
-17848,-16696
-17852,-16711
-17825,-16677
-17827,-16732
-17842,-16708
-17876,-16756
-17871,-16730
-17889,-16757
-17866,-16729
-17867,-16768
-17865,-16751
-17898,-16783
-17871,-16761
-17874,-16805
-17895,-16786
-17885,-16791
-17863,-16759
-17840,-16751
-17845,-16750
-17856,-16775
-17845,-16735
-17872,-16758
-17844,-16724
-17822,-16752
-17828,-16747
-17842,-16782
-17827,-16752
-17808,-16773
-17823,-16777
-17846,-16800
-17848,-16789
-17866,-16813
-17843,-16797
-17824,-16821
-17824,-16804
-17851,-16831
-17833,-16808
-17844,-16822
-17865,-16844
-17884,-16869
-17883,-16864
-17913,-16882
-17888,-16856
-17886,-16881
-17899,-16876
-17912,-16901
-17900,-16880
-17911,-16890
-17884,-16866
-17872,-16878
-17883,-16833
-17889,-16824
-17857,-16747
-17831,-16715
-17828,-16674
-17825,-16648
-17798,-16603
-17811,-16607
-17774,-16563
-17765,-16600
-17776,-16575
-17794,-16601
-17779,-16591
-17814,-16607
-17784,-16585
-17765,-16613
-17773,-16590
-17789,-16636
-17773,-16602
-17780,-16634
-17804,-16636
-17822,-16666
-17833,-16664
-17853,-16677
-17847,-16653
-17837,-16702
-17857,-16681
-17884,-16708
-17872,-16680
-17904,-16698
-17876,-16675
-17863,-16706
-17885,-16684
-17894,-16714
-17883,-16681
-17873,-16708
-17872,-16700
-17883,-16715
-17857,-16704
-17876,-16732
-17845,-16693
-17837,-16738
-17848,-16727
-17866,-16761
-17853,-16744
-17878,-16767
-17850,-16747
-17834,-16780
-17857,-16758
-17877,-16797
-17869,-16769
-17858,-16799
-17867,-16800
-17882,-16819
-17883,-16814
-17882,-16849
-17894,-16813
-17884,-16853
-17906,-16846
-17937,-16874
-17911,-16846
-17955,-16877
-17939,-16860
-17925,-16896
-17952,-16875
-17969,-16910
-17947,-16867
-17954,-16848
-17934,-16814
-17921,-16761
-17882,-16702
-17850,-16654
-17814,-16591
-17786,-16604
-17795,-16566
-17811,-16578
-17771,-16544
-17807,-16560
-17755,-16535
-17747,-16559
-17778,-16540
-17787,-16580
-17763,-16549
-17775,-16575
-17783,-16573
-17784,-16581
-17784,-16576
-17791,-16607
-17791,-16578
-17783,-16633
-17809,-16625
-17839,-16648
-17813,-16624
-17824,-16636
-17791,-16613
-17786,-16642
-17821,-16619
-17850,-16660
-17844,-16632
-17847,-16650
-17840,-16654
-17849,-16653
-17840,-16641
-17843,-16674
-17825,-16630
-17807,-16666
-17821,-16658
-17832,-16676
-17809,-16661
-17826,-16674
-17792,-16649
-17776,-16687
-17802,-16670
-17814,-16702
-17801,-16681
-17802,-16714
-17809,-16712
-17828,-16736
-17813,-16718
-17833,-16764
-17839,-16727
-17837,-16770
-17852,-16764
-17883,-16783
-17866,-16776
-17892,-16796
-17870,-16773
-17863,-16803
-17880,-16786
-17903,-16835
-17887,-16792
-17908,-16818
-17871,-16781
-17851,-16816
-17858,-16806
-17866,-16845
-17855,-16808
-17858,-16839
-17866,-16827
-17884,-16811
-17839,-16767
-17840,-16699
-17792,-16642
-17765,-16607
-17768,-16577
-17771,-16571
-17745,-16522
-17742,-16512
-17745,-16507
-17718,-16511
-17725,-16499
-17742,-16539
-17734,-16508
-17730,-16540
-17758,-16543
-17763,-16563
-17761,-16548
-17778,-16562
-17760,-16547
-17772,-16593
-17791,-16574
-17821,-16609
-17799,-16585
-17795,-16600
-17799,-16592
-17808,-16608
-17787,-16598
-17820,-16630
-17802,-16581
-17783,-16607
-17806,-16593
-17804,-16601
-17788,-16580
-17791,-16600
-17760,-16579
-17774,-16609
-17789,-16597
-17797,-16620
-17772,-16598
-17797,-16631
-17759,-16596
-17747,-16642
-17758,-16632
-17786,-16677
-17770,-16653
-17773,-16690
-17790,-16687
-17808,-16706
-17806,-16688
-17820,-16727
-17799,-16693
-17809,-16734
-17820,-16722
-17844,-16759
-17820,-16726
-17847,-16758
-17818,-16725
-17809,-16768
-17818,-16761
-17855,-16794
-17839,-16772
-17835,-16797
-17852,-16792
-17855,-16810
-17837,-16786
-17812,-16801
-17825,-16788
-17839,-16825
-17836,-16800
-17855,-16812
-17829,-16772
-17815,-16748
-17804,-16710
-17780,-16667
-17752,-16600
-17730,-16580
-17748,-16550
-17717,-16556
-17724,-16524
-17729,-16524
-17705,-16488
-17715,-16513
-17681,-16481
-17703,-16542
-17724,-16525
-17741,-16552
-17727,-16532
-17726,-16550
-17737,-16546
-17731,-16574
-17725,-16557
-17771,-16599
-17742,-16573
-17731,-16609
-17747,-16593
-17758,-16620
-17722,-16577
-17698,-16593
-17718,-16580
-17735,-16602
-17727,-16570
-17751,-16602
-17734,-16575
-17731,-16591
-17746,-16576
-17752,-16609
-17733,-16582
-17723,-16587
-17742,-16601
-17745,-16622
-17756,-16611
-17762,-16635
-17729,-16609
-17689,-16629
-17724,-16627
-17751,-16667
-17749,-16644
-17779,-16676
-17764,-16645
-17761,-16685
-17777,-16683
-17802,-16715
-17786,-16693
-17795,-16720
-17821,-16708
-17849,-16755
-17838,-16724
-17842,-16740
-17845,-16739
-17823,-16730
-17819,-16712
-17830,-16747
-17823,-16707
-17802,-16721
-17828,-16681
-17837,-16666
-17800,-16608
-17809,-16563
-17767,-16510
-17753,-16501
-17753,-16464
-17765,-16485
-17741,-16442
-17781,-16454
-17734,-16419
-17728,-16447
-17726,-16441
-17737,-16474
-17726,-16447
-17721,-16471
-17752,-16469
-17773,-16505
-17765,-16485
-17794,-16503
-17765,-16507
-17760,-16542
-17793,-16533
-17805,-16576
-17807,-16537
-17823,-16560
-17783,-16521
-17770,-16543
-17770,-16528
-17769,-16545
-17757,-16509
-17780,-16529
-17759,-16496
-17762,-16550
-17780,-16535
-17804,-16559
-17786,-16541
-17783,-16581
-17798,-16572
-17804,-16617
-17805,-16577
-17823,-16613
-17795,-16582
-17791,-16616
-17796,-16615
-17801,-16649
-17790,-16609
-17778,-16655
-17801,-16627
-17817,-16666
-17811,-16651
-17847,-16667
-17829,-16670
-17828,-16701
-17841,-16684
-17864,-16726
-17853,-16679
-17846,-16728
-17856,-16715
-17889,-16743
-17873,-16724
-17848,-16740
-17859,-16715
-17839,-16747
-17833,-16713
-17855,-16751
-17836,-16724
-17841,-16725
-17862,-16730
-17852,-16698
-17831,-16639
-17834,-16605
-17793,-16516
-17757,-16508
-17761,-16473
-17778,-16469
-17758,-16443
-17760,-16446
-17733,-16404
-17715,-16446
-17731,-16411
-17732,-16458
-17731,-16430
-17735,-16440
-17749,-16466
-17760,-16490
-17747,-16465
-17789,-16499
-17761,-16460
-17749,-16510
-17763,-16500
-17793,-16538
-17770,-16519
-17759,-16523
-17761,-16514
-17762,-16536
-17749,-16481
-17760,-16514
-17713,-16458
-17726,-16496
-17726,-16493
-17758,-16517
-17724,-16486
-17722,-16519
-17752,-16502
-17757,-16543
-17751,-16526
-17789,-16555
-17762,-16535
-17771,-16576
-17769,-16554
-17784,-16598
-17763,-16545
-17763,-16581
-17735,-16541
-17736,-16590
-17752,-16601
-17791,-16633
-17771,-16601
-17779,-16639
-17804,-16627
-17805,-16656
-17810,-16633
-17839,-16667
-17812,-16652
-17820,-16689
-17826,-16672
-17855,-16704
-17831,-16652
-17792,-16670
-17808,-16665
-17813,-16676
-17790,-16668
-17813,-16688
-17791,-16666
-17786,-16704
-17806,-16689
-17817,-16706
-17804,-16660
-17780,-16619
-17787,-16588
-17767,-16550
-17735,-16488
-17745,-16451
-17715,-16397
-17685,-16390
-17693,-16369
-17688,-16373
-17663,-16342
-17688,-16366
-17658,-16345
-17667,-16394
-17683,-16375
-17692,-16411
-17683,-16388
-17682,-16409
-17693,-16414
-17702,-16445
-17693,-16427
-17712,-16458
-17701,-16431
-17681,-16460
-17690,-16454
-17693,-16459
-17667,-16433
-17675,-16454
-17650,-16411
-17640,-16451
-17664,-16428
-17680,-16457
-17650,-16430
-17655,-16439
-17663,-16460
-17664,-16485
-17660,-16459
-17688,-16495
-17664,-16452
-17667,-16516
-17679,-16502
-17689,-16513
-17657,-16498
-17643,-16526
-17653,-16509
-17677,-16547
-17673,-16533
-17693,-16556
-17685,-16535
-17686,-16578
-17702,-16570
-17722,-16605
-17714,-16572
-17716,-16604
-17727,-16589
-17741,-16623
-17728,-16593
-17750,-16615
-17699,-16584
-17702,-16606
-17693,-16588
-17697,-16622
-17665,-16581
-17657,-16594
-17664,-16598
-17696,-16630
-17676,-16591
-17689,-16587
-17656,-16510
-17614,-16477
-17620,-16433
-17607,-16413
-17593,-16358
-17608,-16353
-17565,-16312
-17561,-16327
-17563,-16310
-17563,-16344
-17552,-16308
-17542,-16311
-17558,-16333
-17563,-16363
-17575,-16349
-17608,-16369
-17584,-16348
-17569,-16384
-17595,-16389
-17612,-16413
-17606,-16398
-17634,-16428
-17601,-16391
-17602,-16430
-17604,-16411
-17607,-16439
-17574,-16395
-17569,-16402
-17579,-16410
-17600,-16431
-17592,-16401
-17615,-16426
-17592,-16392
-17587,-16429
-17601,-16436
-17620,-16465
-17597,-16438
-17598,-16477
-17611,-16467
-17625,-16498
-17618,-16473
-17628,-16515
-17599,-16480
-17602,-16496
-17605,-16503
-17641,-16552
-17618,-16522
-17666,-16544
-17660,-16522
-17663,-16570
-17682,-16562
-17712,-16598
-17687,-16562
-17674,-16587
-17684,-16580
-17701,-16595
-17692,-16567
-17704,-16568
-17657,-16509
-17636,-16488
-17624,-16432
-17634,-16416
-17595,-16347
-17584,-16342
-17603,-16317
-17600,-16323
-17588,-16299
-17626,-16316
-17596,-16294
-17603,-16337
-17620,-16335
-17643,-16360
-17636,-16328
-17656,-16366
-17615,-16332
-17611,-16356
-17602,-16352
-17628,-16401
-17609,-16364
-17616,-16394
-17645,-16397
-17644,-16420
-17653,-16392
-17679,-16400
-17638,-16372
-17636,-16397
-17638,-16385
-17643,-16413
-17648,-16379
-17620,-16379
-17640,-16377
-17629,-16404
-17616,-16368
-17642,-16414
-17609,-16393
-17629,-16432
-17642,-16421
-17667,-16448
-17655,-16424
-17647,-16446
-17661,-16449
-17674,-16494
-17666,-16466
-17694,-16493
-17683,-16478
-17660,-16495
-17680,-16504
-17675,-16508
-17645,-16475
-17669,-16521
-17618,-16489
-17630,-16524
-17655,-16518
-17669,-16569
-17665,-16533
-17658,-16538
