Red Value, IR Value
-17424,-16602
-17411,-16570
-17430,-16603
-17400,-16557
-17393,-16615
-17399,-16585
-17407,-16612
-17385,-16594
-17376,-16621
-17382,-16618
-17390,-16638
-17374,-16626
-17396,-16649
-17365,-16626
-17362,-16672
-17376,-16654
-17396,-16673
-17374,-16644
-17357,-16684
-17368,-16677
-17394,-16721
-17374,-16689
-17389,-16720
-17368,-16693
-17364,-16736
-17367,-16714
-17389,-16746
-17359,-16729
-17355,-16765
-17363,-16757
-17379,-16779
-17364,-16765
-17389,-16797
-17355,-16757
-17350,-16813
-17379,-16796
-17397,-16834
-17374,-16814
-17364,-16836
-17371,-16833
-17391,-16867
-17380,-16818
-17395,-16843
-17369,-16808
-17398,-16847
-17429,-16845
-17486,-16879
-17500,-16856
-17559,-16894
-17611,-16931
-17679,-16972
-17688,-16960
-17737,-16978
-17718,-16907
-17750,-16942
-17772,-16906
-17771,-16890
-17761,-16843
-17763,-16828
-17719,-16783
-17691,-16793
-17677,-16775
-17659,-16769
-17626,-16724
-17583,-16736
-17573,-16739
-17561,-16738
-17522,-16704
-17514,-16728
-17458,-16674
-17416,-16692
-17408,-16666
-17409,-16703
-17375,-16660
-17348,-16694
-17368,-16689
-17377,-16715
-17368,-16706
-17399,-16727
-17370,-16701
-17379,-16744
-17389,-16712
-17402,-16723
-17396,-16700
-17377,-16711
-17395,-16696
-17407,-16725
-17401,-16706
-17414,-16721
-17375,-16686
-17383,-16718
-17388,-16699
-17380,-16729
-17362,-16694
-17338,-16719
-17358,-16709
-17367,-16749
-17351,-16727
-17380,-16750
-17339,-16744
-17346,-16782
-17361,-16765
-17383,-16788
-17367,-16757
-17397,-16790
-17362,-16743
-17355,-16762
-17345,-16716
-17361,-16702
-17328,-16635
-17301,-16609
-17313,-16576
-17317,-16563
-17303,-16521
-17314,-16516
-17280,-16482
-17274,-16502
-17286,-16492
-17299,-16502
-17280,-16469
-17306,-16491
-17270,-16463
-17276,-16500
-17285,-16487
-17294,-16536
-17285,-16508
-17285,-16540
-17302,-16536
-17304,-16565
-17292,-16545
-17322,-16561
-17290,-16532
-17281,-16559
-17293,-16547
-17309,-16567
-17298,-16534
-17279,-16567
-17292,-16552
-17307,-16576
-17302,-16556
-17324,-16583
-17300,-16559
-17296,-16578
-17310,-16568
-17330,-16607
-17312,-16571
-17344,-16593
-17319,-16575
-17306,-16603
-17322,-16596
-17327,-16622
-17318,-16595
-17333,-16622
-17321,-16589
-17333,-16637
-17332,-16626
-17354,-16643
-17322,-16618
-17325,-16649
-17341,-16648
-17355,-16674
-17341,-16635
-17326,-16662
-17347,-16653
-17345,-16692
-17341,-16669
-17369,-16694
-17341,-16662
-17345,-16703
-17355,-16688
-17368,-16717
-17339,-16681
-17326,-16693
-17338,-16666
-17340,-16681
-17332,-16620
-17340,-16594
-17276,-16523
-17269,-16522
-17265,-16490
-17276,-16496
-17240,-16442
-17236,-16463
-17257,-16442
-17266,-16475
-17269,-16451
-17286,-16464
-17257,-16446
-17255,-16484
-17277,-16455
-17285,-16489
-17276,-16454
-17268,-16486
-17286,-16483
-17299,-16513
-17296,-16497
-17327,-16523
-17299,-16493
-17296,-16515
-17306,-16498
-17321,-16513
-17302,-16481
-17286,-16493
-17295,-16485
-17297,-16517
-17289,-16477
-17319,-16507
-17276,-16474
-17287,-16504
-17286,-16505
-17307,-16522
-17303,-16510
-17315,-16536
-17295,-16498
-17285,-16548
-17299,-16537
-17308,-16558
-17300,-16544
-17299,-16566
-17316,-16571
-17310,-16598
-17306,-16561
-17336,-16582
-17312,-16570
-17297,-16606
-17315,-16593
-17328,-16622
-17311,-16601
-17329,-16624
-17306,-16601
-17309,-16634
-17314,-16627
-17340,-16664
-17309,-16633
-17294,-16643
-17318,-16655
-17319,-16680
-17321,-16662
-17334,-16688
-17315,-16667
-17308,-16684
-17312,-16671
-17327,-16662
-17314,-16616
-17314,-16603
-17278,-16533
-17262,-16521
-17254,-16472
-17259,-16463
-17230,-16421
-17251,-16416
-17216,-16390
-17221,-16428
-17223,-16402
-17250,-16439
-17222,-16398
-17213,-16416
-17225,-16420
-17241,-16432
-17231,-16412
-17249,-16438
-17224,-16408
-17221,-16448
