Red Value, IR Value
-17196,-18142
-17176,-18084
-17171,-18110
-17171,-18091
-17186,-18109
-17159,-18069
-17155,-18092
-17156,-18073
-17164,-18091
-17155,-18060
-17174,-18079
-17149,-18045
-17127,-18069
-17151,-18064
-17163,-18085
-17146,-18061
-17175,-18080
-17140,-18058
-17139,-18102
-17149,-18101
-17163,-18118
-17161,-18090
-17175,-18113
-17149,-18087
-17164,-18121
-17167,-18106
-17180,-18141
-17163,-18117
-17162,-18142
-17166,-18140
-17191,-18176
-17188,-18155
-17209,-18176
-17178,-18156
-17175,-18181
-17181,-18186
-17204,-18218
-17180,-18179
-17205,-18222
-17179,-18177
-17198,-18231
-17205,-18226
-17211,-18251
-17204,-18216
-17191,-18244
-17205,-18238
-17214,-18261
-17203,-18233
-17228,-18262
-17203,-18233
-17197,-18259
-17205,-18254
-17221,-18284
-17216,-18252
-17230,-18286
-17197,-18255
-17196,-18292
-17210,-18285
-17219,-18307
-17209,-18276
-17188,-18276
-17216,-18254
-17181,-18260
-17186,-18224
-17200,-18223
-17171,-18178
-17158,-18191
-17168,-18166
-17178,-18193
-17158,-18145
-17182,-18169
-17152,-18137
-17154,-18176
-17162,-18147
-17170,-18182
-17153,-18136
-17140,-18164
-17166,-18149
-17168,-18172
-17145,-18154
-17184,-18165
-17137,-18144
-17149,-18191
-17159,-18179
-17175,-18196
-17158,-18168
-17148,-18174
-17158,-18180
-17171,-18190
-17157,-18173
-17180,-18197
-17149,-18175
-17157,-18218
-17168,-18202
-17184,-18240
-17173,-18205
-17158,-18227
-17178,-18236
-17177,-18253
-17171,-18235
-17206,-18255
-17175,-18231
-17167,-18259
-17180,-18256
-17201,-18278
-17185,-18249
-17176,-18263
-17187,-18273
-17195,-18280
-17190,-18272
-17222,-18289
-17186,-18271
-17183,-18300
-17192,-18306
-17213,-18321
-17197,-18292
-17219,-18322
-17194,-18290
-17197,-18316
-17205,-18302
-17221,-18334
-17190,-18305
-17185,-18314
-17197,-18315
-17204,-18337
-17197,-18295
-17200,-18292
-17183,-18262
-17169,-18265
-17171,-18247
-17171,-18255
-17162,-18215
-17184,-18223
-17152,-18185
-17143,-18221
-17144,-18206
-17163,-18225
-17142,-18196
-17180,-18215
-17144,-18181
-17132,-18204
-17147,-18200
-17157,-18221
-17143,-18202
-17136,-18225
-17146,-18217
-17166,-18249
-17157,-18223
-17182,-18239
-17153,-18215
-17150,-18249
-17153,-18241
-17173,-18260
-17166,-18238
-17179,-18259
-17158,-18225
-17155,-18265
-17169,-18247
-17189,-18291
-17170,-18255
-17166,-18269
-17183,-18280
-17179,-18298
-17172,-18287
-17210,-18304
-17172,-18282
-17174,-18308
-17186,-18299
-17200,-18338
-17195,-18308
-17212,-18333
-17202,-18315
-17191,-18342
-17216,-18338
-17230,-18363
-17211,-18338
-17228,-18373
-17216,-18343
-17219,-18379
-17239,-18380
-17248,-18417
-17230,-18374
-17224,-18386
-17223,-18387
-17243,-18397
-17217,-18364
-17238,-18365
-17216,-18316
-17206,-18341
-17206,-18318
-17215,-18329
-17199,-18301
-17195,-18321
-17198,-18317
-17209,-18342
-17213,-18313
-17240,-18335
-17205,-18303
-17208,-18335
-17219,-18327
-17240,-18365
-17222,-18336
-17221,-18365
-17236,-18363
-17251,-18389
-17234,-18362
-17260,-18389
-17232,-18366
-17234,-18383
-17249,-18370
-17256,-18406
-17233,-18374
-17271,-18385
-17231,-18354
-17244,-18395
-17232,-18372
-17263,-18385
-17234,-18359
-17226,-18395
-17246,-18383
-17246,-18409
-17243,-18380
-17272,-18400
-17229,-18379
-17242,-18404
-17232,-18388
-17254,-18433
-17245,-18389
-17269,-18423
-17236,-18397
-17243,-18422
-17250,-18413
-17268,-18442
-17259,-18419
-17243,-18428
-17238,-18421
-17262,-18441
-17249,-18398
-17263,-18397
-17222,-18353
-17213,-18359
-17219,-18325
-17218,-18343
-17197,-18305
-17221,-18306
-17192,-18282
-17184,-18300
-17196,-18300
-17201,-18330
-17212,-18295
-17228,-18337
-17195,-18299
-17221,-18341
-17216,-18330
-17231,-18366
-17217,-18328
-17216,-18350
-17224,-18346
-17230,-18376
-17228,-18351
-17257,-18381
-17225,-18345
-17213,-18366
-17222,-18360
-17236,-18381
-17223,-18359
-17255,-18383
-17212,-18339
-17221,-18381
-17230,-18373
-17240,-18398
-17233,-18357
-17214,-18385
-17240,-18380
-17256,-18406
-17228,-18386
-17267,-18427
-17236,-18386
-17232,-18411
-17245,-18408
-17252,-18440
-17249,-18403
-17264,-18437
-17243,-18404
-17239,-18423
-17252,-18419
-17263,-18453
-17250,-18421
-17275,-18442
-17237,-18396
-17233,-18424
-17237,-18389
-17245,-18404
-17217,-18343
-17190,-18342
-17212,-18331
-17217,-18327
-17198,-18313
-17221,-18336
-17195,-18294
-17194,-18330
-17207,-18306
-17215,-18334
-17202,-18299
-17215,-18304
-17200,-18277
-17191,-18306
-17181,-18300
-17211,-18321
-17186,-18287
-17202,-18318
-17198,-18281
-17184,-18341
-17201,-18319
-17220,-18345
-17199,-18300
-17189,-18321
-17205,-18315
-17214,-18337
-17205,-18315
-17231,-18340
-17201,-18318
-17188,-18349
-17217,-18335
-17238,-18360
-17215,-18348
-17239,-18368
-17214,-18330
-17206,-18376
-17221,-18352
-17242,-18389
-17221,-18358
-17208,-18372
-17222,-18361
-17243,-18390
-17220,-18351
-17240,-18386
-17217,-18353
-17213,-18385
-17214,-18380
-17246,-18404
-17224,-18370
-17210,-18373
-17221,-18356
-17221,-18362
-17203,-18324
-17217,-18305
-17187,-18277
-17170,-18275
-17182,-18267
-17184,-18290
-17185,-18239
-17199,-18265
-17158,-18214
-17165,-18254
-17166,-18224
-17190,-18238
-17153,-18212
-17144,-18228
-17165,-18222
-17176,-18247
-17163,-18213
-17183,-18242
-17149,-18216
-17152,-18255
-17172,-18240
-17189,-18270
-17183,-18250
-17195,-18275
-17159,-18246
-17181,-18289
-17181,-18271
-17196,-18309
-17184,-18276
-17172,-18290
-17185,-18299
-17201,-18324
-17191,-18303
-17231,-18337
-17198,-18299
-17196,-18338
-17207,-18332
-17232,-18361
-17212,-18326
-17238,-18355
-17214,-18327
-17209,-18374
-17231,-18362
-17251,-18394
-17219,-18356
-17218,-18393
-17232,-18369
-17238,-18389
-17227,-18365
-17247,-18386
-17221,-18342
-17209,-18375
-17216,-18360
-17246,-18372
-17213,-18346
-17202,-18356
-17216,-18323
-17212,-18327
-17194,-18283
-17204,-18286
-17178,-18256
-17169,-18278
-17188,-18262
-17210,-18290
-17188,-18260
-17192,-18293
-17206,-18286
-17206,-18295
-17209,-18269
-17241,-18292
-17211,-18265
-17199,-18287
-17212,-18274
-17221,-18302
-17208,-18280
-17241,-18318
-17200,-18281
-17213,-18339
-17224,-18315
-17235,-18348
-17228,-18324
-17222,-18340
-17244,-18346
-17252,-18365
-17248,-18344
-17271,-18369
-17243,-18352
-17246,-18383
-17264,-18380
-17273,-18410
-17256,-18378
-17291,-18399
-17260,-18375
-17261,-18412
-17262,-18397
-17277,-18426
-17262,-18393
-17256,-18395
-17258,-18413
-17262,-18428
-17264,-18415
-17277,-18447
-17256,-18411
-17263,-18429
-17270,-18427
-17282,-18457
-17270,-18447
-17301,-18465
-17268,-18443
-17268,-18484
-17280,-18459
-17292,-18471
-17272,-18438
-17292,-18448
-17258,-18399
-17244,-18428
-17265,-18390
-17269,-18418
-17235,-18374
-17274,-18407
-17234,-18367
-17238,-18411
-17244,-18382
-17257,-18411
-17243,-18363
-17236,-18387
-17233,-18380
-17256,-18395
-17234,-18377
-17265,-18407
-17233,-18375
-17241,-18412
-17241,-18398
-17276,-18424
-17239,-18402
-17240,-18419
-17249,-18415
-17267,-18445
-17256,-18419
-17280,-18439
-17252,-18405
-17247,-18450
-17258,-18434
-17279,-18466
-17254,-18441
-17251,-18462
-17261,-18455
-17269,-18487
-17271,-18454
-17296,-18494
-17264,-18460
-17263,-18482
-17269,-18479
-17275,-18514
-17274,-18500
-17302,-18503
-17276,-18489
-17270,-18525
-17286,-18503
-17309,-18534
-17289,-18507
-17277,-18522
-17289,-18533
-17304,-18549
-17296,-18529
-17327,-18550
-17292,-18525
-17285,-18568
-17300,-18545
-17307,-18568
-17300,-18535
-17285,-18543
