Red Value, IR Value
-16102,-15596
-16068,-15548
-16051,-15576
-16078,-15560
-16109,-15572
-16101,-15555
-16138,-15591
-16116,-15552
-16129,-15596
-16137,-15577
-16154,-15611
-16137,-15574
-16115,-15615
-16123,-15621
-16122,-15669
-16120,-15649
-16156,-15679
-16125,-15648
-16112,-15679
-16123,-15666
-16121,-15689
-16117,-15656
-16138,-15672
-16109,-15648
-16103,-15670
-16121,-15651
-16130,-15677
-16111,-15647
-16150,-15669
-16124,-15621
-16121,-15667
-16128,-15652
-16150,-15663
-16129,-15633
-16124,-15666
-16133,-15661
-16154,-15674
-16147,-15651
-16165,-15682
-16138,-15651
-16138,-15719
-16157,-15692
-16176,-15716
-16155,-15685
-16156,-15722
-16167,-15704
-16177,-15730
-16173,-15715
-16207,-15731
-16167,-15712
-16163,-15739
-16183,-15725
-16182,-15725
-16160,-15663
-16162,-15625
-16114,-15559
-16090,-15548
-16097,-15501
-16098,-15505
-16084,-15468
-16105,-15480
-16075,-15458
-16082,-15493
-16078,-15475
-16102,-15533
-16090,-15485
-16071,-15503
-16091,-15514
-16113,-15542
-16097,-15524
-16114,-15549
-16100,-15527
-16100,-15570
-16105,-15555
-16134,-15583
-16119,-15554
-16129,-15595
-16102,-15554
-16093,-15596
-16102,-15575
-16122,-15597
-16091,-15560
-16088,-15580
-16113,-15579
-16114,-15598
-16108,-15578
-16131,-15602
-16108,-15582
-16107,-15612
-16122,-15603
-16139,-15629
-16123,-15610
-16144,-15633
-16109,-15617
-16115,-15652
-16123,-15632
-16155,-15671
-16117,-15645
-16120,-15659
-16124,-15662
-16147,-15674
-16133,-15663
-16150,-15677
-16139,-15635
-16123,-15692
-16135,-15677
-16155,-15713
-16133,-15672
-16123,-15691
-16137,-15682
-16132,-15668
-16110,-15600
-16105,-15562
-16067,-15495
-16032,-15470
-16036,-15460
-16045,-15448
-16028,-15410
-16047,-15429
-16031,-15395
-16016,-15445
-16032,-15429
-16049,-15453
-16038,-15435
-16067,-15458
-16044,-15435
-16050,-15481
-16060,-15478
-16094,-15524
-16072,-15508
-16057,-15532
-16079,-15532
-16095,-15562
-16091,-15543
-16107,-15553
-16080,-15542
-16072,-15548
-16063,-15540
-16068,-15566
-16039,-15537
-16064,-15555
-16030,-15541
-16013,-15600
-16046,-15602
-16058,-15651
-16052,-15640
-16081,-15673
-16050,-15640
-16049,-15670
-16066,-15669
-16080,-15690
-16074,-15664
-16056,-15677
-16081,-15676
-16091,-15703
-16076,-15681
-16100,-15712
-16079,-15693
-16079,-15727
-16091,-15708
-16097,-15747
-16096,-15717
-16121,-15727
-16092,-15723
-16083,-15748
-16096,-15738
-16117,-15777
-16104,-15740
-16124,-15747
-16081,-15680
-16059,-15666
-16049,-15599
-16027,-15560
-15993,-15502
-15979,-15482
-15982,-15472
-15981,-15481
-15975,-15460
-16000,-15498
-15982,-15457
-15974,-15496
-15991,-15507
-16007,-15535
-16005,-15508
-16032,-15545
-16000,-15515
-16012,-15562
-16013,-15548
-16034,-15589
-16023,-15570
-16051,-15612
-16027,-15566
-16030,-15598
-16036,-15586
-16052,-15615
-16033,-15587
-16019,-15593
-16033,-15581
-16043,-15620
-16037,-15596
-16059,-15609
-16029,-15594
-16036,-15635
-16039,-15620
-16054,-15646
-16044,-15629
-16063,-15664
-16044,-15630
-16037,-15658
-16055,-15670
-16078,-15698
-16058,-15672
-16093,-15707
-16051,-15677
-16066,-15710
-16072,-15705
-16097,-15749
-16073,-15715
-16067,-15720
-16080,-15735
-16077,-15747
-16077,-15735
-16093,-15787
-16077,-15741
-16063,-15767
-16086,-15760
-16100,-15792
-16093,-15781
-16113,-15789
-16093,-15774
-16089,-15795
-16088,-15772
-16102,-15761
-16067,-15687
-16061,-15636
-16003,-15552
-15989,-15536
-15986,-15500
-15977,-15507
-15969,-15470
-15959,-15477
-15969,-15481
-15960,-15532
-15982,-15512
-16002,-15545
-15983,-15519
-15973,-15559
-15994,-15550
-16018,-15589
-15998,-15566
-16032,-15601
-16002,-15574
-15998,-15618
-16017,-15604
-16033,-15649
-16021,-15621
-16048,-15635
-16006,-15600
-16005,-15627
-16016,-15612
-16017,-15623
-16015,-15599
-16028,-15627
-15996,-15595
-16009,-15639
-16013,-15622
-16035,-15660
-16020,-15634
-16010,-15666
-16030,-15646
-16049,-15680
-16042,-15647
-16051,-15675
-16036,-15653
-16034,-15683
-16053,-15676
-16061,-15701
-16040,-15681
-16067,-15702
-16050,-15668
-16045,-15717
-16057,-15693
-16068,-15725
-16066,-15691
-16082,-15714
-16051,-15682
-16058,-15726
-16063,-15712
-16082,-15741
-16060,-15705
-16038,-15717
-16057,-15665
-16034,-15619
-16006,-15565
-16002,-15535
-15965,-15470
-15955,-15480
-15957,-15459
-15964,-15487
-15949,-15448
-15942,-15483
-15968,-15484
-15974,-15524
-15970,-15502
-16005,-15525
-15969,-15513
-15994,-15551
-15996,-15535
-16022,-15565
-16003,-15539
-16007,-15567
-16028,-15570
-16041,-15602
-16023,-15567
-16048,-15582
-16018,-15544
-16003,-15580
-16019,-15565
-16020,-15594
-16009,-15558
-15996,-15553
-16009,-15573
-16008,-15592
-16014,-15573
-16042,-15602
-16015,-15568
-16007,-15595
-16026,-15589
-16050,-15616
-16042,-15608
-16054,-15620
-16026,-15601
-16032,-15640
-16044,-15631
-16066,-15659
-16046,-15627
-16073,-15658
-16048,-15634
-16031,-15659
-16050,-15669
-16059,-15676
-16061,-15657
-16076,-15681
-16051,-15649
-16046,-15689
-16057,-15667
-16073,-15697
-16063,-15678
-16053,-15679
-16066,-15675
-16062,-15676
-16041,-15611
-16046,-15577
-15985,-15501
-15948,-15465
-15960,-15438
-15949,-15423
-15941,-15410
-15963,-15413
-15938,-15387
-15934,-15417
-15951,-15423
-15965,-15440
-15952,-15415
-15946,-15445
-15971,-15433
-15971,-15454
-15972,-15440
-15998,-15463
-15971,-15452
-15973,-15476
-15992,-15475
-16008,-15509
-15998,-15482
-16020,-15505
-15998,-15480
-15996,-15513
-16000,-15489
-16020,-15501
-15985,-15475
-15989,-15497
-15995,-15486
-16008,-15505
-16002,-15499
-16032,-15518
-15996,-15492
-15992,-15528
-16007,-15518
-16022,-15548
-16013,-15521
-16035,-15542
-16012,-15522
-16008,-15553
-16030,-15565
-16040,-15576
-16026,-15558
-16061,-15592
-16028,-15553
-16037,-15590
-16044,-15581
-16060,-15605
-16043,-15580
-16033,-15592
-16046,-15594
-16047,-15614
-16047,-15603
-16071,-15623
-16050,-15606
-16033,-15623
-16047,-15617
-16060,-15650
-16054,-15621
-16079,-15646
-16045,-15616
-16034,-15621
-16031,-15578
-16019,-15538
-15990,-15481
-15994,-15446
-15953,-15389
-15951,-15403
-15948,-15386
-15973,-15407
-15945,-15380
-15943,-15389
-15958,-15397
-15952,-15418
-15967,-15402
-15976,-15434
-15960,-15396
-15960,-15420
-15967,-15417
-15978,-15443
-15974,-15430
-16004,-15462
-15988,-15439
-15981,-15476
-15995,-15464
-16013,-15494
-16002,-15461
-16020,-15486
-15990,-15463
-15988,-15483
-16001,-15457
-16004,-15493
-15990,-15460
-15986,-15457
-15996,-15489
-15984,-15495
-15995,-15496
-16016,-15522
-16003,-15493
-15987,-15520
-16002,-15516
-16022,-15529
-16011,-15520
-16027,-15551
-16006,-15520
-15998,-15542
-16018,-15538
-16038,-15573
-16016,-15539
-16048,-15570
-16014,-15540
-16015,-15570
-16026,-15560
-16039,-15583
-16032,-15562
-16056,-15583
-16023,-15556
-16029,-15590
-16032,-15577
-16053,-15608
-16036,-15577
-16021,-15575
-16040,-15583
-16041,-15617
-16043,-15598
-16063,-15637
-16038,-15596
-16032,-15627
-16046,-15626
-16051,-15648
-16060,-15621
-16057,-15623
-16031,-15566
-16009,-15540
-15996,-15491
-15989,-15464
-15961,-15417
-15966,-15417
-15943,-15375
-15937,-15409
-15947,-15399
-15969,-15421
-15959,-15403
-15948,-15434
-15956,-15428
-15973,-15467
-15969,-15430
-15989,-15450
-15962,-15429
-15957,-15461
-15986,-15462
-15999,-15501
-15990,-15475
-16012,-15506
-15986,-15469
-15985,-15510
-15989,-15496
-16001,-15526
-15984,-15486
-15970,-15484
-15986,-15492
-16008,-15525
-15993,-15499
-16008,-15511
-15972,-15486
-15982,-15519
-15987,-15511
-16002,-15539
-15996,-15521
-15983,-15521
-16000,-15528
-15995,-15567
-16004,-15545
-16021,-15565
-15999,-15539
-15995,-15571
-16006,-15570
-16029,-15590
-16014,-15568
-16037,-15587
-16005,-15553
-16013,-15600
-16016,-15584
-16039,-15617
-16027,-15580
-16004,-15606
-16024,-15599
-16037,-15624
-16018,-15597
-16044,-15631
-16029,-15601
-16013,-15636
-16038,-15612
-16048,-15655
-16040,-15618
-16058,-15639
-16029,-15611
-16039,-15663
-16036,-15647
-16064,-15664
-16038,-15643
-16064,-15684
-16050,-15649
-16046,-15677
-16048,-15661
-16060,-15663
-16028,-15605
-16004,-15541
-15993,-15509
-15964,-15486
-15963,-15440
-15960,-15439
-15934,-15398
-15929,-15419
-15937,-15421
-15954,-15447
-15944,-15428
-15975,-15454
-15957,-15437
-15941,-15464
-15974,-15459
-15981,-15490
-15972,-15461
-16002,-15489
-15973,-15464
-15979,-15514
-15997,-15500
-16015,-15528
-15988,-15510
-16011,-15535
-15993,-15512
-15983,-15544
-16001,-15517
-16011,-15548
-15991,-15514
-15983,-15537
-15993,-15533
-15993,-15553
-15991,-15530
-16024,-15558
-15996,-15534
-15988,-15570
-15991,-15564
-16024,-15599
-16006,-15571
-16026,-15602
-16000,-15575
-16000,-15619
-16009,-15605
-16028,-15641
-16013,-15606
-16043,-15635
-16011,-15613
-16013,-15647
-16018,-15625
-16040,-15662
-16023,-15626
-16017,-15654
-16035,-15649
-16047,-15665
-16035,-15649
-16060,-15669
-16030,-15643
-16021,-15675
-16048,-15657
-16060,-15685
-16042,-15644
-16028,-15660
-16043,-15673
-16060,-15689
-16054,-15666
-16070,-15678
-16052,-15655
-16037,-15665
-16040,-15616
-16024,-15580
-16007,-15525
-15992,-15487
-15966,-15445
-15938,-15451
-15955,-15430
-15963,-15454
-15958,-15422
-15983,-15454
-15952,-15433
-15964,-15479
-15975,-15478
-16003,-15507
-15978,-15469
-15972,-15505
-15989,-15495
-16014,-15528
-15998,-15514
-16035,-15548
-16012,-15526
-16020,-15560
-16039,-15559
-16036,-15579
-16013,-15552
-16007,-15552
-16012,-15558
-16027,-15585
-16014,-15554
-16033,-15575
-16004,-15549
-16001,-15577
-16011,-15580
-16031,-15599
-16019,-15573
-16038,-15609
-16019,-15589
-16019,-15622
-16037,-15605
-16050,-15652
-16037,-15627
-16060,-15653
-16029,-15625
-16030,-15663
-16045,-15647
-16065,-15673
-16059,-15647
-16040,-15649
