Red Value, IR Value
-16955,-16018
-16961,-16005
-16944,-16023
-16936,-15994
-16943,-16006
-16914,-15989
-16908,-15994
-16934,-15989
-16935,-16004
-16924,-15971
-16943,-16002
-16903,-15952
-16907,-15978
-16910,-15962
-16926,-15984
-16915,-15956
-16940,-15982
-16924,-15947
-16939,-15982
-16950,-15938
-16947,-15925
-16918,-15871
-16863,-15823
-16860,-15789
-16817,-15767
-16778,-15720
-16753,-15713
-16693,-15646
-16639,-15663
-16615,-15618
-16590,-15628
-16550,-15591
-16503,-15588
-16497,-15594
-16503,-15621
-16488,-15595
-16536,-15625
-16518,-15601
-16567,-15687
-16620,-15697
-16707,-15773
-16745,-15778
-16807,-15842
-16870,-15863
-16931,-15891
-16880,-15854
-16877,-15871
-16838,-15835
-16823,-15863
-16858,-15856
-16854,-15885
-16838,-15850
-16868,-15867
-16834,-15844
-16819,-15864
-16827,-15854
-16830,-15870
-16812,-15842
-16797,-15852
-16820,-15854
-16829,-15870
-16820,-15864
-16839,-15874
-16825,-15852
-16842,-15883
-16866,-15874
-16886,-15922
-16910,-15893
-16988,-15941
-17003,-15944
-17051,-16002
-17110,-16007
-17174,-16052
-17175,-16029
-17200,-16048
-17168,-15996
-17125,-16011
-17096,-15984
-17060,-15976
-17008,-15929
-16932,-15875
-16909,-15840
-16849,-15783
-16796,-15717
-16767,-15685
-16723,-15632
-16671,-15632
-16683,-15609
-16672,-15631
-16646,-15592
-16657,-15616
-16618,-15598
-16596,-15628
-16605,-15612
-16611,-15632
-16592,-15605
-16590,-15630
-16601,-15623
-16611,-15649
-16613,-15631
-16668,-15664
-16653,-15644
-16680,-15681
-16710,-15670
-16743,-15691
-16743,-15665
-16769,-15676
-16742,-15648
-16738,-15672
-16730,-15653
-16751,-15670
-16720,-15635
-16711,-15671
-16724,-15659
-16736,-15687
-16725,-15657
-16711,-15664
-16728,-15688
-16732,-15712
-16735,-15689
-16761,-15716
-16737,-15691
-16748,-15726
-16763,-15728
-16767,-15753
-16762,-15734
-16799,-15764
-16777,-15735
-16773,-15768
-16796,-15765
-16816,-15799
-16796,-15767
-16824,-15792
-16794,-15772
-16784,-15812
-16797,-15793
-16818,-15822
-16792,-15797
-16801,-15822
-16801,-15826
-16814,-15847
-16804,-15830
-16816,-15857
-16814,-15819
-16812,-15857
-16807,-15813
-16815,-15789
-16770,-15712
-16726,-15661
-16721,-15621
-16699,-15594
-16679,-15535
-16688,-15549
-16658,-15507
-16641,-15531
-16655,-15517
-16660,-15544
-16643,-15519
-16643,-15543
-16602,-15519
-16594,-15565
-16588,-15539
-16614,-15581
-16599,-15558
-16596,-15594
-16610,-15584
-16627,-15613
-16609,-15591
-16617,-15605
-16578,-15577
-16549,-15586
-16554,-15564
-16538,-15581
-16526,-15536
-16494,-15531
-16506,-15526
-16513,-15550
-16516,-15522
-16547,-15549
-16524,-15508
-16526,-15544
-16548,-15528
-16554,-15551
-16557,-15523
-16565,-15547
-16526,-15520
-16534,-15550
-16531,-15531
-16542,-15563
-16511,-15528
-16485,-15534
-16504,-15533
-16509,-15552
-16480,-15532
-16501,-15565
-16480,-15540
-16476,-15571
-16485,-15558
-16504,-15588
-16489,-15568
-16518,-15593
-16505,-15575
-16510,-15616
-16539,-15614
-16578,-15637
-16565,-15615
-16577,-15624
-16595,-15626
-16609,-15646
-16596,-15603
-16619,-15597
-16570,-15531
-16539,-15507
-16533,-15469
-16535,-15453
-16504,-15397
-16476,-15405
-16486,-15388
-16493,-15420
-16492,-15398
-16522,-15442
-16502,-15421
-16500,-15453
-16515,-15459
-16533,-15504
-16537,-15481
-16566,-15515
-16552,-15497
-16557,-15529
-16575,-15517
-16590,-15557
-16580,-15524
-16594,-15532
-16554,-15513
-16563,-15542
-16557,-15519
-16567,-15529
-16538,-15497
-16523,-15508
-16532,-15500
-16522,-15517
-16517,-15493
-16524,-15527
-16497,-15495
-16483,-15516
-16486,-15501
-16459,-15524
-16424,-15482
-16394,-15483
-16335,-15445
-16316,-15490
